CylinderConfiguration,Price,PriceType,SimpleAge,SellerType,Make,Model,BodyType,Year,Kilometers,Trasmission,DriveTrain,FuelType,Colour,AirConditioning,ANCAPRating,GreenStarRating
4,7990,FIXED,56m,Dealer used,Honda,VTi,Sedan,2009,233364,Automatic,Front Wheel Drive,Petrol - Unleaded,Silver,TRUE,4,4.5
4,7990,FIXED,57m,Dealer used,Nissan,ST,Sedan,2007,120293,Automatic,Front Wheel Drive,Petrol - Unleaded,Grey,TRUE,5,2.5
4,10888,DRIVE_AWAY,18h,Dealer used,Hyundai,SX CRDi (4x4),Wagon,2009,211700,Manual,4x4,Diesel,Silver,TRUE,4,3.5
4,28,FIXED,58m,Private seller,Toyota,GLX,Wagon,2012,150000,Automatic,Front Wheel Drive,Petrol - Unleaded,White,TRUE,4,3.5
4,12980,DRIVE_AWAY,18h,Dealer used,Toyota,GLi,Wagon,2007,186649,Automatic,Front Wheel Drive,Petrol - Unleaded,Blue,TRUE,5,3
6,79,FIXED,5h,Dealer used,Ford,All Others,Ute,2013,107126,Automatic,Rear Wheel Drive,Petrol - Unleaded,White,TRUE,4,3
4,99,FIXED,5h,Dealer used,Ford,MID (MWB),Van/Minivan,2012,155126,Manual,Rear Wheel Drive,Diesel,White,TRUE,4,2.5
4,26990,FIXED,4h,Dealer used,Volkswagen,R,Hatchback,2011,144842,Automatic,All Wheel Drive,Petrol - Premium Unleaded,Grey,TRUE,5,4
4,8000,FIXED,24m,Dealer used,Volkswagen,GT SPORT TSI,Hatchback,2008,134368,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,Red,TRUE,5,2
4,30990,FIXED,35m,Dealer used,Mitsubishi,GLX-R LWB (4x4),SUV,2013,130536,Automatic,4x4,Diesel,White,TRUE,4,2.5
4,13999,FIXED,4h,Dealer used,Nissan,DX (4x4),Ute,2012,139312,Manual,4x4,Diesel,Yellow,TRUE,3,2.5
4,3165,DRIVE_AWAY,6h,Dealer used,Peugeot,ST,Sedan,2001,175000,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,Silver,TRUE,5,4.5
4,5249,DRIVE_AWAY,18h,Dealer used,Subaru,XS,SUV,2005,227442,Automatic,All Wheel Drive,Petrol - Unleaded,Silver,TRUE,4,2.5
6,7490,DRIVE_AWAY,4h,Dealer used,BMW,25i,Sedan,2006,198254,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Green,TRUE,5,3
4,10999,FIXED,4h,Dealer used,Nissan,RX (4x4),Ute,2008,204387,Automatic,4x4,Diesel,White,TRUE,5,3.5
4,8375,DRIVE_AWAY,2h,Dealer used,Suzuki,(4x4),SUV,2007,206561,Automatic,4x4,Petrol - Unleaded,Blue,TRUE,5,3
4,16999,FIXED,4h,Dealer used,Mercedes-Benz,CDI AVANTGARDE,Sedan,2009,184076,Automatic,Rear Wheel Drive,Diesel,Grey,TRUE,5,3.5
4,9999,FIXED,6h,Dealer used,Suzuki,GL (4x2),SUV,2015,137215,Automatic,Front Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,3.5
4,4200,FIXED,35m,Dealer used,Proton,G,Sedan,2010,91851,Manual,Front Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,4
6,4200,FIXED,5h,Dealer used,Ford,XT,Sedan,2006,243626,Automatic,Rear Wheel Drive,Petrol - Unleaded,Black,TRUE,5,
4,3999,FIXED,4h,Dealer used,Hyundai,1.6 SXi,Hatchback,2006,162356,Automatic,Front Wheel Drive,Petrol - Unleaded,White,FALSE,5,4
6,5999,FIXED,4h,Dealer used,Ford,GHIA (4x4),SUV,2005,257722,Automatic,All Wheel Drive,Petrol - Unleaded,Blue,TRUE,5,3.5
6,7999,DRIVE_AWAY,40m,Dealer used,Nissan,ST (4x4),SUV,2005,234607,Automatic,4x4,Petrol - Unleaded,White,TRUE,5,3.5
6,3999,FIXED,5h,Dealer used,Ford,XT,Sedan,2004,274223,Automatic,Rear Wheel Drive,Petrol - Unleaded,White,TRUE,4,2.5
8,11999,FIXED,2h,Private seller,Holden,Ute,Ute,2010,200000,Automatic,Rear Wheel Drive,Petrol - Unleaded,Blue,TRUE,5,4
6,10999,FIXED,4h,Dealer used,Mercedes-Benz,AVANTGARDE,Sedan,2005,229400,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,White,TRUE,5,4
4,38990,DRIVE_AWAY,17h,Dealer used,Holden,Z71 (4x4),Ute,2015,79522,Automatic,4x4,Diesel,White,TRUE,5,2.5
6,17778,FIXED,40m,Dealer used,Holden,Ute,Ute,2017,149000,Automatic,Rear Wheel Drive,Petrol - Unleaded,White,TRUE,5,3.5
6,32990,FIXED,35m,Dealer used,Kia,S,Wagon,2017,53216,Automatic,Front Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,4.5
4,6499,FIXED,50m,Dealer used,Ford,TREND,Hatchback,2013,121000,Manual,Front Wheel Drive,Petrol - Unleaded,Other,TRUE,5,3.5
6,14990,FIXED,17h,Dealer used,Mercedes-Benz,350 LUXURY (4x4),SUV,2007,152803,Automatic,4x4,Petrol - Premium Unleaded,Silver,TRUE,5,3.5
8,11990,FIXED,17h,Dealer used,Mercedes-Benz,AVANTGARDE,Sedan,2002,153828,Automatic,Rear Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,3.5
6,5990,FIXED,17h,Dealer used,Lexus,SPORTS LUXURY,Sedan,2001,224613,Automatic,Rear Wheel Drive,Petrol - Unleaded,Blue,TRUE,5,3.5
12,69990,FIXED,17h,Dealer used,Bentley,FLYING SPUR,Sedan,2006,97278,Automatic,All Wheel Drive,Petrol - Premium Unleaded,Silver,TRUE,5,3.5
8,26990,FIXED,16h,Dealer used,Rolls-Royce,SPIRIT II,Sedan,1990,202575,Automatic,Rear Wheel Drive,Petrol - Unleaded,Cream,TRUE,5,2.5
6,22990,FIXED,1h,Dealer used,Infiniti,30d S PREMIUM,Sedan,2012,66300,Automatic,Rear Wheel Drive,Diesel,Black,TRUE,4,3.5
4,3999,FIXED,1h,Dealer used,Honda,GLi,Sedan,1998,187000,Automatic,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,4
4,17990,DRIVE_AWAY,1h,Dealer used,Mitsubishi,XLS (2WD),SUV,2015,80302,Automatic,Front Wheel Drive,Petrol - Unleaded,Grey,TRUE,5,3.5
4,13999,FIXED,18h,Dealer used,Holden,LX (4x2),Ute,2013,258000,Automatic,Rear Wheel Drive,Diesel,White,TRUE,4,2.5
4,6999,FIXED,4h,Dealer used,Mazda,LUXURY SPORTS,Hatchback,2005,194417,Manual,Front Wheel Drive,Petrol - Premium Unleaded,Red,TRUE,5,3.5
8,299990,FIXED,16h,Dealer used,Ferrari,SPIDER,Convertible,2005,56789,Manual,Rear Wheel Drive,Petrol - Premium Unleaded,Red,TRUE,5,2.5
4,7499,FIXED,18h,Dealer used,Mazda,CLASSIC (4x4),SUV,2007,216036,Automatic,All Wheel Drive,Petrol - Premium Unleaded,Grey,TRUE,5,4
4,12888,DRIVE_AWAY,17h,Dealer used,Mitsubishi,LX,Sedan,2013,75505,Automatic,Front Wheel Drive,Petrol - Unleaded,Grey,TRUE,5,3.5
4,79,FIXED,5h,Dealer used,Ford,XL 2.2 HI-RIDER (4x2),Ute,2015,120000,Automatic,Rear Wheel Drive,Diesel,White,TRUE,5,2.5
4,4999,DRIVE_AWAY,57m,Dealer used,Mercedes-Benz,CLASSIC,Hatchback,2005,150221,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,Red,TRUE,5,3.5
4,5249,DRIVE_AWAY,6h,Dealer used,Mazda,CLASSIC,Sedan,2005,217839,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,Black,TRUE,5,3
4,14999,DRIVE_AWAY,8h,Dealer used,Nissan,ST (4x4),Ute,2012,191282,Manual,4x4,Diesel,Red,TRUE,3,2.5
