Price,PriceType,SellerType,Make,Model,Variant,BodyType,Year,Kilometers,Trasmission,DriveTrain,FuelType,Colour,AirConditioning,ANCAPRating,GreenStarRating,CylinderConfigurationParsed
7990,FIXED,Dealer used,Honda,Civic,VTi,Sedan,2009,233364,Automatic,Front Wheel Drive,Petrol - Unleaded,Silver,TRUE,4,4.5,4
7990,FIXED,Dealer used,Nissan,Tiida,ST,Sedan,2007,120293,Automatic,Front Wheel Drive,Petrol - Unleaded,Grey,TRUE,5,2.5,4
10888,DRIVE_AWAY,Dealer used,Hyundai,SX CRDi (4x4),,Wagon,2009,211700,Manual,4x4,Diesel,Silver,TRUE,4,3.5,0
14999,FIXED,Dealer used,Chrysler,Other,,Sedan,1967,25307,Automatic,Rear Wheel Drive,Petrol - Unleaded,White,TRUE,5,2.5,0
12980,DRIVE_AWAY,Dealer used,Toyota,GLi,,Wagon,2007,186649,Automatic,Front Wheel Drive,Petrol - Unleaded,Blue,TRUE,5,3,0
2990,FIXED,Dealer used,Ford,Falcon,XL TRADESMAN,Ute,2004,247000,Automatic,Rear Wheel Drive,Petrol - Unleaded,Blue,TRUE,0,4,6
27999,DRIVE_AWAY,Dealer used,BMW,7,40Li EXECUTIVE,Sedan,2007,105127,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Black,TRUE,5,2.5,8
10990,DRIVE_AWAY,Dealer used,Toyota,Estima,V6 24V,Wagon,2003,114573,Automatic,Front Wheel Drive,Petrol - Unleaded,White,TRUE,2,2.5,0
22990,DRIVE_AWAY,Dealer used,Infiniti,Other,1.9 TDI COMFORTLINE,Wagon,2010,106670,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,Gold,TRUE,3,4.5,0
39990,FIXED,Dealer used,BMW,6,,Other,2010,98085,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Other,TRUE,5,2.5,0
12990,FIXED,Dealer used,Mercedes-Benz,C350,ELEGANCE,Sedan,2006,163600,Automatic,Rear Wheel Drive,Petrol - Unleaded,Black,TRUE,5,4.5,6
6999,NEGOTIABLE,Dealer used,Volkswagen,Polo,MATCH,Hatchback,2008,146577,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,Blue,TRUE,5,4,4
7999,NEGOTIABLE,Dealer used,Hyundai,Terracan,CRDi,SUV,2005,264628,Automatic,4x4,Diesel,Silver,TRUE,5,3,4
7890,NEGOTIABLE,Dealer used,Holden,Tigra,MATCH,Convertible,2005,153214,Manual,Front Wheel Drive,Petrol - Premium Unleaded,Silver,TRUE,5,4,4
7990,DRIVE_AWAY,Dealer used,BMW,3,,Other,2001,242016,Automatic,Rear Wheel Drive,Petrol - Unleaded,Blue,TRUE,5,3.5,0
8999,NEGOTIABLE,Dealer used,Kia,Sorento,EX,SUV,2007,220006,Automatic,4x4,Diesel,Silver,TRUE,5,4,4
8999,NEGOTIABLE,Dealer used,Honda,Jazz,GLi,Hatchback,2007,128321,Automatic,Front Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,4,4
5999,NEGOTIABLE,Dealer used,Toyota,Corolla,ASCENT SECA,Hatchback,2005,265228,Manual,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,4,4
7999,NEGOTIABLE,Dealer used,Nissan,Almera,ST,Sedan,2013,105299,Manual,Front Wheel Drive,Petrol - Unleaded,Black,TRUE,5,4,4
12000,FIXED,Dealer used,M.G.,Other,CLASSIC,Convertible,1966,94333,Manual,Rear Wheel Drive,Petrol - Unleaded,Other,TRUE,5,3.5,0
10899,FIXED,Dealer used,Mercedes-Benz,300,E,Sedan,1988,111150,Automatic,Rear Wheel Drive,Petrol - Unleaded,Blue,TRUE,5,4.5,6
25499,FIXED,Dealer used,Toyota,LandCruiser,PRADO GXL (4x4),SUV,2010,174416,Automatic,4x4,Petrol - Unleaded,White,TRUE,5,3,6
2700,FIXED,Dealer used,Other,cars.carmodel.null,XLS,Ute,2008,102000,Automatic,Rear Wheel Drive,Petrol - Unleaded,White,TRUE,5,3,0
8880,FIXED,Dealer used,Mercedes-Benz,C240,ELEGANCE,Sedan,2001,144500,Automatic,Rear Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,4.5,6
16990,DRIVE_AWAY,Dealer used,Nissan,Elgrand,(4x4),Wagon,2007,115960,Automatic,4x4,Petrol - Unleaded,White,TRUE,5,3.5,0
26990,FIXED,Dealer used,Volkswagen,R,,Hatchback,2011,144842,Automatic,All Wheel Drive,Petrol - Premium Unleaded,Grey,TRUE,5,4,0
8000,FIXED,Dealer used,Volkswagen,Golf,GT SPORT TSI,Hatchback,2008,134368,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,Red,TRUE,5,2,4
30990,FIXED,Dealer used,Mitsubishi,Pajero,GLX-R LWB (4x4),SUV,2013,130536,Automatic,4x4,Diesel,White,TRUE,4,2.5,4
10999,FIXED,Dealer used,Holden,Commodore,SS,Sedan,2003,226579,Manual,Rear Wheel Drive,Petrol - Unleaded,Red,TRUE,5,4,8
13999,FIXED,Dealer used,Nissan,DX (4x4),,Ute,2012,139312,Manual,4x4,Diesel,Yellow,TRUE,3,2.5,0
3990,FIXED,Dealer used,Mazda,Other,,Other,2002,233818,Manual,Front Wheel Drive,Petrol - Unleaded,White,TRUE,5,4,0
3165,DRIVE_AWAY,Dealer used,Peugeot,ST,,Sedan,2001,175000,Automatic,Front Wheel Drive,Petrol - Premium Unleaded,Silver,TRUE,5,4.5,0
5249,DRIVE_AWAY,Dealer used,Subaru,XS,,SUV,2005,227442,Automatic,All Wheel Drive,Petrol - Unleaded,Silver,TRUE,4,2.5,0
7490,DRIVE_AWAY,Dealer used,BMW,25i,,Sedan,2006,198254,Automatic,Rear Wheel Drive,Petrol - Premium Unleaded,Green,TRUE,5,3,0
10999,FIXED,Dealer used,Nissan,RX (4x4),,Ute,2008,204387,Automatic,4x4,Diesel,White,TRUE,5,3.5,0
8375,DRIVE_AWAY,Dealer used,Suzuki,Grand Vitara,(4x4),SUV,2007,206561,Automatic,4x4,Petrol - Unleaded,Blue,TRUE,5,3,4
6999,FIXED,Dealer used,Holden,Commodore,OMEGA V,Sedan,2006,188904,Automatic,Rear Wheel Drive,Petrol - Unleaded,Silver,TRUE,4,2.5,6
28998,FIXED,Dealer used,Ford,Ranger,XLS 3.2 (4x4),Ute,2014,166000,Manual,4x4,Diesel,White,TRUE,5,2.5,5
16999,FIXED,Dealer used,Mercedes-Benz,CDI AVANTGARDE,,Sedan,2009,184076,Automatic,Rear Wheel Drive,Diesel,Grey,TRUE,5,3.5,0
9999,FIXED,Dealer used,Suzuki,GL (4x2),,SUV,2015,137215,Automatic,Front Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,3.5,0
4200,FIXED,Dealer used,Proton,Persona,G,Sedan,2010,91851,Manual,Front Wheel Drive,Petrol - Unleaded,Silver,TRUE,5,4,4
4200,FIXED,Dealer used,Ford,XT,,Sedan,2006,243626,Automatic,Rear Wheel Drive,Petrol - Unleaded,Black,TRUE,5,0,0
3999,FIXED,Dealer used,Hyundai,1.6 SXi,,Hatchback,2006,162356,Automatic,Front Wheel Drive,Petrol - Unleaded,White,FALSE,5,4,0
5999,FIXED,Dealer used,Ford,GHIA (4x4),,SUV,2005,257722,Automatic,All Wheel Drive,Petrol - Unleaded,Blue,TRUE,5,3.5,0
15990,NEGOTIABLE,Private seller,Nissan,Elgrand,LS (4x2),Van/Minivan,2008,118000,Automatic,Rear Wheel Drive,Petrol - Unleaded,Black,TRUE,5,4.5,0
21990,DRIVE_AWAY,Dealer used,Toyota,Hilux,SR (4x4),Ute,2010,243300,Manual,4x4,Diesel,White,FALSE,4,2.5,4
7490,DRIVE_AWAY,Dealer used,Holden,Commodore,ASCENT SPORT,Ute,2003,204431,Automatic,Rear Wheel Drive,Petrol - Unleaded,White,TRUE,5,5,6
7999,DRIVE_AWAY,Dealer used,Nissan,Pathfinder,ST (4x4),SUV,2005,234607,Automatic,4x4,Petrol - Unleaded,White,TRUE,5,3,6
